trialid,phase,label,images,target,verb,informativity
1,train,waitress,NA,NA,NA,NA
2,train,ball,NA,NA,NA,NA
3,train,burglar,NA,NA,NA,NA
4,train,palette,NA,NA,NA,NA
5,train,boxer,NA,NA,NA,NA
6,train,ballerina,NA,NA,NA,NA
7,train,swimmer,NA,NA,NA,NA
8,train,artist,NA,NA,NA,NA
9,train,book,NA,NA,NA,NA
10,train,pirate,NA,NA,NA,NA
11,train,hat,NA,NA,NA,NA
12,train,soldier,NA,NA,NA,NA
13,train,gun,NA,NA,NA,NA
14,train,banana,NA,NA,NA,NA
15,train,chef,NA,NA,NA,NA
16,train,clown,NA,NA,NA,NA
17,train,cake,NA,NA,NA,NA
18,train,jug,NA,NA,NA,NA
19,train,cowboy,NA,NA,NA,NA
20,train,monk,NA,NA,NA,NA
21,train,doctor,NA,NA,NA,NA
22,train,cup,NA,NA,NA,NA
23,train,sailor,NA,NA,NA,NA
24,train,apple,NA,NA,NA,NA
1,recall,clown,NA,NA,NA,NA
2,recall,palette,NA,NA,NA,NA
3,recall,doctor,NA,NA,NA,NA
4,recall,burglar,NA,NA,NA,NA
5,recall,artist,NA,NA,NA,NA
6,recall,sailor,NA,NA,NA,NA
7,recall,chef,NA,NA,NA,NA
8,recall,banana,NA,NA,NA,NA
9,recall,ball,NA,NA,NA,NA
10,recall,apple,NA,NA,NA,NA
11,recall,waitress,NA,NA,NA,NA
12,recall,cowboy,NA,NA,NA,NA
13,recall,soldier,NA,NA,NA,NA
14,recall,pirate,NA,NA,NA,NA
15,recall,gun,NA,NA,NA,NA
16,recall,book,NA,NA,NA,NA
17,recall,ballerina,NA,NA,NA,NA
18,recall,monk,NA,NA,NA,NA
19,recall,cake,NA,NA,NA,NA
20,recall,hat,NA,NA,NA,NA
21,recall,swimmer,NA,NA,NA,NA
22,recall,cup,NA,NA,NA,NA
23,recall,jug,NA,NA,NA,NA
24,recall,boxer,NA,NA,NA,NA
1,example,The waitress dropped the banana,"waitress-drop-banana,pirate-eat-banana,chef-point (at)-clown,artist-elbow-doctor",waitress-drop-banana,drop,train
2,example,The chef decorated the cake,"ballerina-pick up-boxer,pirate-shake-jug,chef-decorate-cake,pirate-slap-burglar",chef-decorate-cake,decorate,train
1,choice,NA,"waitress-run-soldier,waitress-peel-banana,artist-drink-cup,waitress-kiss-swimmer",waitress-run-soldier,run,filler
2,choice,NA,"chef-laugh (at)-burglar,cowboy-drag-jug,ballerina-yell-swimmer,chef-cut-banana",chef-laugh (at)-burglar,laugh (at),filler
3,choice,NA,"pirate-sell-ball-clown,pirate-sell-ball-sailor,pirate-sell-ball-ballerina,pirate-sell-ball-doctor",pirate-sell-ball-clown,sell,high
4,choice,NA,"ballerina-wash-gun,waitress-open-book,cowboy-poke-monk,ballerina-trip-boxer",ballerina-wash-gun,wash,filler
5,choice,NA,"waitress-catch-doctor,ballerina-bump (into)-cake,cowboy-carry-swimmer,artist-wash-jug",waitress-catch-doctor,catch,filler
6,choice,NA,"artist-offer-book-doctor,artist-offer-hat-soldier,artist-offer-book-sailor,artist-offer-hat-boxer",artist-offer-book-doctor,offer,low
7,choice,NA,"waitress-touch-swimmer,cowboy-kick-soldier,artist-examine-cake,pirate-drop-book",waitress-touch-swimmer,touch,filler
8,choice,NA,"pirate-give-apple-doctor,pirate-give-apple-boxer,pirate-give-apple-monk,pirate-give-apple-soldier",pirate-give-apple-doctor,give,high
9,choice,NA,"ballerina-bite-apple,pirate-clean-ball,artist-spill-cup,chef-cut-apple",ballerina-bite-apple,bite,filler
10,choice,NA,"artist-reach (for)-cup,chef-tickle-burglar,ballerina-hug-sailor,cowboy-take off-hat",artist-reach (for)-cup,reach (for),filler
11,choice,NA,"pirate-show-book-soldier,pirate-show-hat-boxer,pirate-show-book-swimmer,pirate-show-hat-monk",pirate-show-book-soldier,show,low
12,choice,NA,"artist-examine-palette,pirate-slap-sailor,monk-chase-ballerina,pirate-bounce-ball",artist-examine-palette,examine,filler
13,choice,NA,"chef-fight-sailor,artist-sniff-cup,chef-step (on)-soldier,doctor-dance-cowboy",chef-fight-sailor,fight,filler
14,choice,NA,"ballerina-throw-hat-swimmer,ballerina-throw-banana-sailor,ballerina-throw-book-boxer,ballerina-throw-cake-soldier",ballerina-throw-hat-swimmer,throw,control
15,choice,NA,"pirate-smile-monk,artist-examine-apple,pirate-wink-doctor,ballerina-attack-monk",pirate-smile-monk,smile,filler
16,choice,NA,"cowboy-toss-banana-soldier,cowboy-toss-book-swimmer,cowboy-toss-ball-monk,cowboy-toss-apple-doctor",cowboy-toss-banana-soldier,toss,control
17,choice,NA,"chef-cut-cake,artist-wash-ball,monk-chase-boxer,pirate-drop-cake",chef-cut-cake,cut,filler
18,choice,NA,"chef-burn-hat,artist-sniff-apple,pirate-wink-sailor,pirate-smile-clown",chef-burn-hat,burn,filler
