trialid,phase,label,images,target,verb,informativity
1,train,burglar,NA,NA,NA,NA
2,train,cowboy,NA,NA,NA,NA
3,train,ball,NA,NA,NA,NA
4,train,waitress,NA,NA,NA,NA
5,train,cup,NA,NA,NA,NA
6,train,apple,NA,NA,NA,NA
7,train,sailor,NA,NA,NA,NA
8,train,hat,NA,NA,NA,NA
9,train,banana,NA,NA,NA,NA
10,train,gun,NA,NA,NA,NA
11,train,monk,NA,NA,NA,NA
12,train,artist,NA,NA,NA,NA
13,train,palette,NA,NA,NA,NA
14,train,book,NA,NA,NA,NA
15,train,soldier,NA,NA,NA,NA
16,train,boxer,NA,NA,NA,NA
17,train,pirate,NA,NA,NA,NA
18,train,jug,NA,NA,NA,NA
19,train,cake,NA,NA,NA,NA
20,train,doctor,NA,NA,NA,NA
21,train,swimmer,NA,NA,NA,NA
22,train,ballerina,NA,NA,NA,NA
23,train,clown,NA,NA,NA,NA
24,train,chef,NA,NA,NA,NA
1,recall,pirate,NA,NA,NA,NA
2,recall,gun,NA,NA,NA,NA
3,recall,cowboy,NA,NA,NA,NA
4,recall,doctor,NA,NA,NA,NA
5,recall,apple,NA,NA,NA,NA
6,recall,boxer,NA,NA,NA,NA
7,recall,jug,NA,NA,NA,NA
8,recall,hat,NA,NA,NA,NA
9,recall,ballerina,NA,NA,NA,NA
10,recall,soldier,NA,NA,NA,NA
11,recall,chef,NA,NA,NA,NA
12,recall,burglar,NA,NA,NA,NA
13,recall,banana,NA,NA,NA,NA
14,recall,sailor,NA,NA,NA,NA
15,recall,monk,NA,NA,NA,NA
16,recall,clown,NA,NA,NA,NA
17,recall,ball,NA,NA,NA,NA
18,recall,cup,NA,NA,NA,NA
19,recall,waitress,NA,NA,NA,NA
20,recall,cake,NA,NA,NA,NA
21,recall,swimmer,NA,NA,NA,NA
22,recall,artist,NA,NA,NA,NA
23,recall,book,NA,NA,NA,NA
24,recall,palette,NA,NA,NA,NA
1,example,The waitress dropped the banana,"waitress-drop-banana,pirate-eat-banana,chef-point (at)-clown,artist-elbow-doctor",waitress-drop-banana,drop,train
2,example,The chef decorated the cake,"ballerina-pick up-boxer,pirate-shake-jug,chef-decorate-cake,pirate-slap-burglar",chef-decorate-cake,decorate,train
1,choice,NA,"artist-examine-palette,pirate-slap-sailor,monk-chase-ballerina,pirate-bounce-ball",artist-examine-palette,examine,filler
2,choice,NA,"waitress-show-apple-clown,waitress-show-banana-soldier,waitress-show-ball-sailor,waitress-show-cup-monk",waitress-show-apple-clown,show,control
3,choice,NA,"artist-reach (for)-cup,chef-tickle-burglar,ballerina-hug-sailor,cowboy-take off-hat",artist-reach (for)-cup,reach (for),filler
4,choice,NA,"pirate-smile-monk,artist-examine-apple,pirate-wink-doctor,ballerina-attack-monk",pirate-smile-monk,smile,filler
5,choice,NA,"ballerina-bite-apple,pirate-clean-ball,artist-spill-cup,chef-cut-apple",ballerina-bite-apple,bite,filler
6,choice,NA,"waitress-catch-doctor,ballerina-bump (into)-cake,cowboy-carry-swimmer,artist-wash-jug",waitress-catch-doctor,catch,filler
7,choice,NA,"chef-fight-sailor,artist-sniff-cup,chef-step (on)-soldier,doctor-dance-cowboy",chef-fight-sailor,fight,filler
8,choice,NA,"cowboy-throw-gun-doctor,cowboy-throw-gun-swimmer,cowboy-throw-gun-soldier,cowboy-throw-gun-boxer",cowboy-throw-gun-doctor,throw,high
9,choice,NA,"waitress-run-soldier,waitress-peel-banana,artist-drink-cup,waitress-kiss-swimmer",waitress-run-soldier,run,filler
10,choice,NA,"chef-sell-cake-sailor,chef-sell-book-clown,chef-sell-cup-doctor,chef-sell-hat-ballerina",chef-sell-cake-sailor,sell,control
11,choice,NA,"chef-laugh (at)-burglar,cowboy-drag-jug,ballerina-yell-swimmer,chef-cut-banana",chef-laugh (at)-burglar,laugh (at),filler
12,choice,NA,"chef-cut-cake,artist-wash-ball,monk-chase-boxer,pirate-drop-cake",chef-cut-cake,cut,filler
13,choice,NA,"artist-offer-book-doctor,artist-offer-hat-soldier,artist-offer-book-sailor,artist-offer-hat-boxer",artist-offer-book-doctor,offer,low
14,choice,NA,"cowboy-toss-banana-clown,cowboy-toss-banana-soldier,cowboy-toss-banana-boxer,cowboy-toss-banana-monk",cowboy-toss-banana-clown,toss,high
15,choice,NA,"waitress-touch-swimmer,cowboy-kick-soldier,artist-examine-cake,pirate-drop-book",waitress-touch-swimmer,touch,filler
16,choice,NA,"chef-burn-hat,artist-sniff-apple,pirate-wink-sailor,pirate-smile-clown",chef-burn-hat,burn,filler
17,choice,NA,"chef-give-ball-monk,chef-give-jug-clown,chef-give-ball-doctor,chef-give-jug-sailor",chef-give-ball-monk,give,low
18,choice,NA,"ballerina-wash-gun,waitress-open-book,cowboy-poke-monk,ballerina-trip-boxer",ballerina-wash-gun,wash,filler
